Topic,Video title,Link,Channel,Found via,Source page file,Video ID
Hardware: Input,Using An Infrared Camera To Show How Face ID Works,https://www.youtube.com/watch?v=g4m6StzUcOw,Insider Tech,Playlist: Grd 10 IT Hardware Biometrics,hw_input.php,g4m6StzUcOw
Hardware: Input,What is NFC? Explained - Tech Tips,https://www.youtube.com/watch?v=-TwwqdDTzfU,NCIX Tech Tips,Playlist: Grd 10 IT Hardware RFID,hw_input.php,-TwwqdDTzfU
Hardware: Input,What is RFID & How RFID Works: Narrated by Louis Sirico,https://www.youtube.com/watch?v=MAA9JpGraoU,Louis Sirico,Playlist: Grd 10 IT Hardware RFID,hw_input.php,MAA9JpGraoU
Hardware: Input,What Sensors Are in a Smartphone?,https://www.youtube.com/watch?v=CxC1KCoGbIM,Scientific American,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,CxC1KCoGbIM
Hardware: Input,Why RFID Beats Bar Codes for Bulk Storage,https://www.youtube.com/watch?v=n3Kuk98PihM,Louis Sirico,Playlist: Grd 10 IT Hardware RFID,hw_input.php,n3Kuk98PihM
Hardware: Input,Zebra Technologies show RFID printers at ProMat 2011,https://www.youtube.com/watch?v=wOFvSPNVlQ4,warehouseiq,Playlist: Grd 10 IT Hardware RFID,hw_input.php,wOFvSPNVlQ4
Hardware: Output,Aspect Ratios As Fast As Possible,https://www.youtube.com/watch?v=uSuCJyZzyRE,Techquickie,Embedded on the page,hw_output.php,uSuCJyZzyRE
Hardware: Output,HDMI vs DisplayPort vs DVI vs VGA - Simple Explanation,https://www.youtube.com/watch?v=xPtSj0B4teQ,GamingScan,Embedded on the page,hw_output.php,xPtSj0B4teQ
Hardware: Output,You Don't See in 4K,https://www.youtube.com/watch?v=VxNBiAV4UnM,Knowing Better,Embedded on the page,hw_output.php,VxNBiAV4UnM
Software: Application Software,Beginner's Guide to Microsoft Word,https://www.youtube.com/watch?v=S-nHYzK-BVg,Technology for Teachers and Students,Playlist: Grd 10 IT Software - Office,sw_applications.php,S-nHYzK-BVg
Software: Application Software,Buying a PC for Video Editing: What You Need to Know!,https://www.youtube.com/watch?v=I6bfOjBi6EY,Justin Brown - Primal Video,Playlist: Grd 10 IT Software - Video,sw_applications.php,I6bfOjBi6EY
Software: Application Software,DaVinci Resolve - Tutorial for Beginners [COMPLETE] - 16 MINS!*,https://www.youtube.com/watch?v=EbqmZjJEsBw,Skills Factory,Playlist: Grd 10 IT Software - Video,sw_applications.php,EbqmZjJEsBw
Software: Application Software,Google Docs Tutorial,https://www.youtube.com/watch?v=OBITNezSmLY,Technology for Teachers and Students,Playlist: Grd 10 IT Software - Office,sw_applications.php,OBITNezSmLY
Software: Application Software,How to Give an Awesome (PowerPoint) Presentation (Whiteboard Animation Explainer Video).,https://www.youtube.com/watch?v=i68a6M5FFBc,Wienot Films,Playlist: Grd 10 IT Software - Office,sw_applications.php,i68a6M5FFBc
Software: Application Software,How to start a presentation,https://www.youtube.com/watch?v=LrjlW00kkws,Expert Academy (GLOBAL),Playlist: Grd 10 IT Software - Office,sw_applications.php,LrjlW00kkws
Software: Application Software,Life After Death by Powerpoint (Corporate Comedy Video),https://www.youtube.com/watch?v=KbSPPFYxx3o,Don McMillan,Playlist: Grd 10 IT Software - Office,sw_applications.php,KbSPPFYxx3o
Software: Application Software,The 5 Skills You Need to Be a Successful Video Editor,https://www.youtube.com/watch?v=KM0zLnep3Nw,Justin Odisho,Playlist: Grd 10 IT Software - Video,sw_applications.php,KM0zLnep3Nw
Software: Application Software,The Beginner's Guide to Excel - Excel Basics Tutorial,https://www.youtube.com/watch?v=rwbho0CgEAE,Technology for Teachers and Students,Playlist: Grd 10 IT Software - Office,sw_applications.php,rwbho0CgEAE
Software: Application Software,The Beginner's Guide to Microsoft PowerPoint,https://www.youtube.com/watch?v=XF34-Wu6qWU,Technology for Teachers and Students,Playlist: Grd 10 IT Software - Office,sw_applications.php,XF34-Wu6qWU
Software: Application Software,Visual Storytelling 101,https://www.youtube.com/watch?v=iWQQgZh9EyE,Film Riot,Playlist: Grd 10 IT Software - Video,sw_applications.php,iWQQgZh9EyE
Software: Application Software,What does a video editor really do? VideoAnswers. Episode17.,https://www.youtube.com/watch?v=d3V3XN3wrqA,Comprehensive Media,Playlist: Grd 10 IT Software - Video,sw_applications.php,d3V3XN3wrqA
